DISTRITO,tmin_banda5_mean
TARATA,-4.561075755528042
CAPAZO,-4.560060655748522
SANTA ROSA,-4.197036049582741
SUSAPAYA,-4.182687932794744
SAN ANTONIO DE CHUCA,-4.096958747276893
CONDOROMA,-3.855524698893229
TICACO,-3.7456318248401987
PARATIA,-3.724840897780198
CANDARAVE,-3.715401027513587
CARUMAS,-3.053062728688687
SAN JUAN DE TARUCANI,-3.0424901962280275
ANANEA,-2.9974329471588135
AJOYANI,-2.9313172560471754
PISACOMA,-2.905298868815104
TUTI,-2.8557139805385043
