DISTRITO,tmin_banda5_mean
YAGUAS,22.973617658943965
MORONA,22.95268309182961
RAMON CASTILLA,22.92658142896476
SAN PABLO,22.887479629984664
PASTAZA,22.8707935230152
PEBAS,22.836467025715258
LAS AMAZONAS,22.762101274481566
PUTUMAYO,22.742786258292597
IQUITOS,22.72259521484375
AGUAS VERDES,22.709638595581055
INDIANA,22.698646129261363
LAGUNAS,22.6944482421875
YAVARI,22.686692097547976
PUNCHANA,22.665260170990567
URARINAS,22.645239736519606
